AGENT_ID,TOTAL_POLICIES,FRAUD_CASES_HANDLED,AVG_CLAIM_AMOUNT,APPROVAL_RATE,CUSTOMER_COMPLAINTS,YEARS_EXPERIENCE,PERFORMANCE_SCORE,STATE
AGT0089,460,10,4357,0.485,5,5,83.05,GA
AGT0087,403,8,16245,0.66,0,17,88.73,NC
AGT0037,455,0,2462,0.527,6,3,69.18,FL
AGT0199,359,3,7476,0.778,13,19,83.73,OH
AGT0079,139,5,3850,0.793,3,1,95.15,NY
AGT0035,174,3,12461,0.405,11,8,55.0,NY
AGT0170,434,28,4567,0.925,0,7,91.53,TX
AGT0192,123,0,1264,0.909,3,4,79.09,NC
AGT0043,311,11,7116,0.473,8,13,71.12,IL
AGT0118,332,29,1043,0.663,14,6,52.59,WA
AGT0182,99,3,8208,0.515,9,4,69.2,OH
AGT0133,51,19,5926,0.93,10,10,89.69,TX
AGT0088,26,7,18731,0.711,11,12,77.1,NC
AGT0115,395,9,10980,0.785,1,16,58.82,CA
AGT0021,152,13,9356,0.938,14,3,61.61,NC
AGT0197,121,17,12405,0.77,6,5,92.38,NY
AGT0103,455,22,3601,0.879,4,2,71.65,CA
AGT0009,300,18,3534,0.532,12,19,54.77,OH
AGT0068,21,0,3928,0.526,7,14,98.67,IL
AGT0083,158,5,17485,0.643,10,6,62.67,FL
AGT0199,242,18,15160,0.885,5,13,89.82,TX
AGT0176,243,8,19231,0.422,8,20,50.64,GA
AGT0061,394,1,16438,0.643,2,19,62.83,IL
AGT0034,402,16,3265,0.854,6,23,66.86,NY
AGT0009,25,9,4140,0.498,6,6,92.97,OH
AGT0114,150,25,16653,0.739,3,4,87.4,WA
AGT0090,304,26,11394,0.438,13,19,65.4,MI
AGT0105,26,3,12670,0.406,9,23,89.37,FL
AGT0055,289,23,5440,0.575,13,5,90.5,NY
AGT0162,47,25,10545,0.843,2,17,75.6,MI
AGT0104,290,19,18140,0.423,6,14,75.39,TX
AGT0184,46,18,10292,0.601,12,22,75.48,WA
AGT0048,371,13,14070,0.801,2,5,58.37,IL
AGT0052,234,14,15246,0.603,3,9,90.64,IL
AGT0118,476,2,18572,0.663,13,15,85.73,WA
AGT0139,50,4,4969,0.675,1,21,92.47,TX
AGT0060,436,20,18298,0.899,6,20,90.78,TX
AGT0110,212,16,12570,0.882,1,12,89.27,MI
AGT0103,248,5,16829,0.435,5,9,89.02,NC
AGT0133,351,10,5965,0.781,12,5,97.22,IL
AGT0128,314,19,3241,0.699,5,10,80.27,TX
AGT0041,441,5,2618,0.595,7,24,91.4,OH
AGT0023,417,6,8283,0.671,13,6,90.07,NC
AGT0055,118,26,11504,0.884,5,23,63.51,CA
AGT0026,144,13,6470,0.825,9,7,78.29,FL
AGT0110,439,13,6103,0.712,7,3,86.48,NY
AGT0103,406,2,16505,0.497,10,18,55.17,FL
AGT0001,489,2,15110,0.74,8,11,76.53,OH
AGT0165,458,19,13052,0.674,12,18,50.14,WA
AGT0144,316,9,13357,0.646,13,24,62.02,GA
AGT0094,481,8,17080,0.919,14,4,74.32,OH
AGT0033,371,5,5262,0.946,5,14,65.35,WA
AGT0033,444,22,18854,0.923,2,7,88.55,MI
AGT0187,246,28,17369,0.806,2,12,81.87,OH
AGT0048,483,7,7535,0.729,11,7,63.38,CA
AGT0173,46,7,7592,0.576,13,5,50.85,FL
AGT0133,454,23,4505,0.921,3,13,62.74,WA
AGT0125,480,15,14472,0.651,7,11,75.95,OH
AGT0168,396,23,6774,0.511,0,19,88.11,WA
AGT0179,473,22,6079,0.461,8,12,80.17,CA
AGT0055,216,23,13772,0.86,10,15,52.79,TX
AGT0198,168,4,4735,0.58,2,18,73.33,TX
AGT0026,75,16,3147,0.821,13,2,97.98,CA
AGT0155,105,13,17345,0.745,12,11,95.2,NY
AGT0078,434,26,1753,0.556,14,13,87.12,WA
AGT0126,42,19,18454,0.868,14,16,64.19,CA
AGT0168,108,22,13987,0.865,1,1,51.11,WA
AGT0090,253,26,7688,0.495,6,3,72.82,CA
AGT0017,186,20,11720,0.467,6,21,68.72,CA
AGT0163,463,19,6984,0.73,0,19,83.79,CA
AGT0027,24,15,8771,0.528,14,11,53.53,NC
AGT0141,30,2,14348,0.583,0,1,96.17,TX
AGT0089,143,21,18273,0.915,10,7,86.79,TX
AGT0095,309,9,5319,0.497,4,16,98.55,MI
AGT0053,184,3,11136,0.659,8,17,93.27,GA
AGT0101,419,10,17419,0.562,7,20,71.51,NY
AGT0038,57,10,1267,0.591,3,14,83.12,NC
AGT0046,196,11,1161,0.604,6,19,92.28,WA
AGT0095,328,8,12682,0.543,10,6,60.19,OH
AGT0158,309,28,3700,0.82,8,4,50.48,MI
AGT0103,263,26,19868,0.847,3,9,65.38,NY
AGT0176,227,1,3293,0.697,3,21,71.87,MI
AGT0055,56,14,15028,0.895,10,22,81.23,GA
AGT0004,42,9,7038,0.475,3,2,63.17,FL
AGT0062,36,25,18554,0.679,8,5,72.1,GA
AGT0023,257,14,17456,0.856,14,2,82.43,NY
AGT0105,443,19,16170,0.742,8,19,91.22,CA
AGT0199,53,2,13160,0.942,4,20,61.35,IL
AGT0098,41,21,5106,0.728,10,23,90.0,CA
AGT0036,345,14,3041,0.928,14,5,96.96,IL
AGT0117,255,26,5980,0.454,9,13,70.48,MI
AGT0148,161,3,2499,0.423,8,11,77.6,CA
AGT0175,18,9,15915,0.596,9,24,50.5,GA
AGT0097,403,25,6480,0.863,1,23,85.51,FL
AGT0085,333,7,9363,0.428,0,21,93.6,OH
AGT0105,297,8,12776,0.539,8,6,51.0,GA
AGT0043,124,9,14330,0.942,7,9,92.18,NC
AGT0022,468,15,12281,0.753,14,19,57.45,GA
AGT0155,40,1,14982,0.616,7,15,92.1,FL
AGT0028,371,18,3170,0.443,12,15,77.1,NY
AGT0138,366,24,6318,0.815,9,2,68.51,OH
AGT0116,365,9,15455,0.909,4,10,97.06,FL
AGT0095,304,5,14643,0.808,12,24,80.62,MI
AGT0076,159,10,13013,0.464,1,12,51.93,OH
AGT0197,233,19,18859,0.693,10,22,88.3,GA
AGT0160,226,15,19678,0.622,6,10,59.12,GA
AGT0033,434,18,2593,0.897,10,21,96.16,NY
AGT0195,375,24,11499,0.819,1,20,58.32,NC
AGT0026,243,28,18112,0.841,3,15,74.38,GA
AGT0163,363,13,7219,0.628,4,20,76.13,MI
AGT0086,485,22,2119,0.414,8,2,78.19,NY
AGT0082,349,14,3267,0.818,13,9,76.66,OH
AGT0101,184,4,14725,0.748,13,3,71.95,MI
AGT0097,13,17,18462,0.478,9,17,85.64,NY
AGT0026,440,28,14435,0.816,1,8,57.78,MI
AGT0032,18,12,1715,0.482,11,13,89.36,NY
AGT0148,259,16,8842,0.807,12,21,51.87,TX
AGT0140,43,21,7625,0.792,8,18,92.1,CA
AGT0079,440,24,18324,0.404,0,16,87.49,IL
AGT0090,25,0,11084,0.826,2,2,89.77,IL
AGT0077,344,1,5462,0.624,12,15,64.85,FL
AGT0172,388,14,11826,0.679,2,9,92.49,MI
AGT0014,368,3,15224,0.931,5,24,84.56,MI
AGT0131,277,27,12064,0.906,11,9,98.43,GA
AGT0062,299,21,8933,0.61,2,18,51.0,NC
AGT0035,257,18,14625,0.79,6,15,89.53,OH
AGT0032,380,17,6780,0.682,10,9,81.17,GA
AGT0083,51,14,3438,0.852,7,5,99.45,FL
AGT0030,446,1,17389,0.576,13,7,72.15,CA
AGT0136,389,23,14667,0.659,2,13,63.98,OH
AGT0066,484,14,14890,0.462,8,22,93.99,TX
AGT0172,55,11,17900,0.91,5,24,66.28,TX
AGT0030,112,13,14550,0.895,8,8,85.14,OH
AGT0071,118,14,1578,0.552,1,2,66.59,NY
