TRANSACTION_ID,POLICY_NUMBER,CUSTOMER_ID,LOSS_DT,REPORT_DT,CLAIM_AMOUNT,PREMIUM_AMOUNT,INCIDENT_SEVERITY,INCIDENT_HOUR_OF_THE_DAY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,VENDOR_ID,IS_FRAUD
TXN0000001,POL000001,CUST00001,2020-04-16,2020-07-10,4591,1928,Moderate,2,Ambulance,0,0,WA,VND0010,0
TXN0000002,POL000002,CUST00002,2021-02-12,2022-03-19,5069,4292,Minor,14,Police,1,1,MI,VND0039,0
TXN0000003,POL000003,CUST00003,2019-02-27,2024-05-02,2019,658,Moderate,2,Fire,1,1,OH,VND0017,0
TXN0000004,POL000004,CUST00004,2022-11-13,2022-12-12,2628,2508,Major,3,None,0,1,CA,VND0027,0
TXN0000005,POL000005,CUST00005,2024-01-19,2020-10-01,27629,4104,Moderate,4,Ambulance,0,1,FL,VND0046,1
TXN0000006,POL000006,CUST00006,2023-04-28,2022-10-05,5992,4788,Minor,4,None,1,0,FL,VND0010,0
TXN0000007,POL000007,CUST00007,2020-09-12,2024-05-09,3008,1631,Moderate,1,None,1,0,CA,VND0022,0
TXN0000008,POL000008,CUST00008,2021-08-26,2020-05-14,1838,3428,Severe,22,Fire,0,1,TX,VND0009,0
TXN0000009,POL000009,CUST00009,2024-04-05,2020-04-25,10932,1353,Moderate,19,None,0,1,OH,VND0022,1
TXN0000010,POL000010,CUST00010,2021-05-03,2019-04-03,3861,1021,Moderate,12,None,0,1,CA,VND0016,0
TXN0000011,POL000011,CUST00011,2023-08-12,2023-09-02,4054,2088,Minor,8,Ambulance,0,1,CA,VND0046,0
TXN0000012,POL000012,CUST00012,2022-03-04,2023-08-14,1452,4482,Moderate,4,None,0,1,WA,VND0016,0
TXN0000013,POL000013,CUST00013,2021-09-28,2021-04-24,647,3602,Major,22,Ambulance,0,1,GA,VND0031,0
TXN0000014,POL000014,CUST00014,2022-03-20,2023-11-01,3568,2701,Major,19,None,0,0,MI,VND0007,0
TXN0000015,POL000015,CUST00015,2020-03-24,2022-08-15,5622,1772,Moderate,18,Police,0,1,FL,VND0023,0
TXN0000016,POL000016,CUST00016,2021-05-03,2024-06-02,1236,1137,Major,11,Fire,0,0,NY,VND0042,0
TXN0000017,POL000017,CUST00017,2020-09-02,2024-02-10,2976,1718,Moderate,0,Fire,0,0,GA,VND0034,0
TXN0000018,POL000018,CUST00018,2023-03-01,2024-04-25,11339,1187,Major,15,Police,0,1,GA,VND0015,1
TXN0000019,POL000019,CUST00019,2022-05-14,2021-03-13,1846,1341,Minor,11,Ambulance,0,0,NY,VND0049,0
TXN0000020,POL000020,CUST00020,2021-03-13,2022-07-10,4363,3593,Moderate,7,Police,0,0,WA,VND0041,0
TXN0000021,POL000021,CUST00021,2023-07-09,2019-12-16,2146,1097,Major,7,Police,1,1,NC,VND0021,0
