POLICY_NUMBER,CUSTOMER_ID,AGENT_ID,INSURANCE_TYPE,POLICY_EFF_DT,PREMIUM_AMOUNT,RISK_SEGMENTATION,CLAIM_STATUS,STATE,IS_FRAUD
POL000001,CUST00001,AGT0068,Home,2018-08-07,1928,Medium,Rejected,WA,0
POL000002,CUST00002,AGT0044,Home,2021-09-07,4292,High,Rejected,OH,0
POL000003,CUST00003,AGT0105,Auto,2015-10-21,658,Low,Approved,GA,0
POL000004,CUST00004,AGT0133,Auto,2023-02-10,2508,Low,Approved,NY,0
POL000005,CUST00005,AGT0053,Home,2019-08-22,4104,Medium,Approved,MI,1
POL000006,CUST00006,AGT0154,Home,2020-05-21,4788,Medium,Approved,CA,0
POL000007,CUST00007,AGT0128,Home,2016-09-14,1631,Medium,Approved,FL,0
POL000008,CUST00008,AGT0034,Auto,2019-10-03,3428,Medium,Under Investigation,WA,0
POL000009,CUST00009,AGT0188,Home,2015-01-11,1353,Medium,Approved,IL,1
POL000010,CUST00010,AGT0009,Auto,2023-01-04,1021,Medium,Approved,TX,0
POL000011,CUST00011,AGT0131,Auto,2021-09-26,2088,High,Rejected,IL,0
POL000012,CUST00012,AGT0088,Home,2019-02-02,4482,Medium,Approved,FL,0
POL000013,CUST00013,AGT0131,Life,2022-07-09,3602,Medium,Approved,OH,0
POL000014,CUST00014,AGT0155,Life,2022-04-20,2701,Low,Approved,FL,0
POL000015,CUST00015,AGT0138,Travel,2016-01-27,1772,Low,Under Investigation,NY,0
POL000016,CUST00016,AGT0131,Travel,2015-06-26,1137,Low,Approved,WA,0
POL000017,CUST00017,AGT0169,Health,2017-04-13,1718,Medium,Rejected,CA,0
POL000018,CUST00018,AGT0141,Life,2015-01-05,1187,Medium,Rejected,NC,1
POL000019,CUST00019,AGT0163,Auto,2020-02-27,1341,Low,Approved,CA,0
POL000020,CUST00020,AGT0081,Travel,2019-10-02,3593,Medium,Rejected,IL,0
POL000021,CUST00021,AGT0041,Health,2019-11-03,1097,Low,Approved,GA,0
POL000022,CUST00022,AGT0047,Life,2015-08-30,713,Low,Approved,WA,0
POL000023,CUST00023,AGT0123,Travel,2023-04-06,2940,High,Approved,FL,0
POL000024,CUST00024,AGT0107,Life,2023-10-14,1789,Low,Under Investigation,CA,0
POL000025,CUST00025,AGT0016,Travel,2020-04-24,2546,Low,Approved,NC,0
POL000026,CUST00026,AGT0041,Auto,2015-01-19,1129,Low,Approved,MI,0
POL000027,CUST00027,AGT0194,Auto,2018-07-25,1444,Low,Under Investigation,OH,0
POL000028,CUST00028,AGT0146,Life,2021-06-17,2484,Medium,Approved,CA,1
POL000029,CUST00029,AGT0151,Home,2021-09-26,3605,High,Under Investigation,OH,0
POL000030,CUST00030,AGT0040,Auto,2017-03-10,2364,Medium,Rejected,NY,0
POL000031,CUST00031,AGT0013,Life,2022-05-27,2937,Medium,Approved,IL,0
POL000032,CUST00032,AGT0059,Auto,2023-09-15,2848,Low,Rejected,CA,0
POL000033,CUST00033,AGT0172,Travel,2019-07-30,1709,Medium,Rejected,NY,0
POL000034,CUST00034,AGT0102,Auto,2018-06-07,1758,Low,Approved,WA,0
POL000035,CUST00035,AGT0157,Home,2019-09-25,2415,Low,Under Investigation,CA,0
POL000036,CUST00036,AGT0098,Travel,2015-03-31,644,High,Under Investigation,WA,0
POL000037,CUST00037,AGT0099,Home,2019-09-17,3584,Low,Under Investigation,OH,1
POL000038,CUST00038,AGT0121,Life,2015-03-30,3264,Low,Rejected,OH,0
POL000039,CUST00039,AGT0192,Life,2015-04-25,1877,Low,Approved,WA,0
POL000040,CUST00040,AGT0088,Travel,2019-12-24,2181,Medium,Approved,FL,0
POL000041,CUST00041,AGT0120,Home,2019-08-06,1979,Low,Approved,WA,0
POL000042,CUST00042,AGT0184,Travel,2023-11-17,3431,Low,Approved,FL,0
POL000043,CUST00043,AGT0075,Home,2019-07-27,3918,Medium,Rejected,NY,0
POL000044,CUST00044,AGT0168,Travel,2023-10-25,989,Low,Rejected,IL,0
POL000045,CUST00045,AGT0108,Life,2022-04-06,2359,High,Approved,GA,0
POL000046,CUST00046,AGT0176,Auto,2018-01-13,561,Low,Approved,NY,0
POL000047,CUST00047,AGT0094,Life,2023-05-02,2535,Medium,Rejected,NC,0
POL000048,CUST00048,AGT0126,Travel,2019-05-06,1617,High,Approved,CA,0
POL000049,CUST00049,AGT0065,Auto,2020-05-08,2011,Medium,Under Investigation,GA,0
POL000050,CUST00050,AGT0128,Travel,2015-11-27,2554,Medium,Rejected,GA,1
POL000051,CUST00051,AGT0066,Auto,2016-11-29,1956,Low,Approved,OH,0
POL000052,CUST00052,AGT0122,Travel,2019-09-12,2273,Medium,Approved,GA,1
POL000053,CUST00053,AGT0158,Life,2017-06-10,3941,High,Rejected,NC,0
POL000054,CUST00054,AGT0087,Auto,2020-05-24,4146,Medium,Approved,WA,0
POL000055,CUST00055,AGT0086,Life,2015-09-20,526,High,Rejected,FL,0
POL000056,CUST00056,AGT0065,Auto,2017-04-04,2200,Medium,Approved,IL,0
POL000057,CUST00057,AGT0147,Home,2020-12-25,4310,Medium,Approved,OH,0
POL000058,CUST00058,AGT0119,Travel,2020-07-04,2886,Low,Approved,NY,0
POL000059,CUST00059,AGT0104,Health,2023-11-07,1423,Medium,Rejected,WA,1
POL000060,CUST00060,AGT0006,Auto,2023-02-04,3170,High,Under Investigation,OH,1
POL000061,CUST00061,AGT0023,Home,2022-04-17,1152,Medium,Under Investigation,OH,0
POL000062,CUST00062,AGT0002,Health,2015-01-04,598,Low,Approved,TX,0
POL000063,CUST00063,AGT0171,Auto,2020-06-02,3345,Medium,Rejected,IL,0
POL000064,CUST00064,AGT0171,Home,2017-01-22,2818,Medium,Approved,GA,0
POL000065,CUST00065,AGT0014,Health,2017-05-27,3904,High,Approved,IL,0
POL000066,CUST00066,AGT0010,Auto,2016-11-20,2051,Low,Under Investigation,NC,0
