TRANSACTION_ID,POLICY_NUMBER,CUSTOMER_ID,CLAIM_AMOUNT,VENDOR_ID,IS_FRAUD,FRAUD_PROBABILITY,RISK_SCORE,RISK_LABEL
TXN0000001,POL000001,CUST00001,4591,VND0010,0,0.0299,2.99,Low
TXN0000002,POL000002,CUST00002,5069,VND0039,0,0.0405,4.05,Low
TXN0000003,POL000003,CUST00003,2019,VND0017,0,0.0531,5.31,Low
TXN0000004,POL000004,CUST00004,2628,VND0027,0,0.0235,2.35,Low
TXN0000005,POL000005,CUST00005,27629,VND0046,1,0.9603,96.03,Critical
TXN0000006,POL000006,CUST00006,5992,VND0010,0,0.0045,0.45,Low
TXN0000007,POL000007,CUST00007,3008,VND0022,0,0.0079,0.79,Low
TXN0000008,POL000008,CUST00008,1838,VND0009,0,0.0211,2.11,Low
TXN0000009,POL000009,CUST00009,10932,VND0022,1,0.9038,90.38,Critical
TXN0000010,POL000010,CUST00010,3861,VND0016,0,0.0358,3.58,Low
TXN0000011,POL000011,CUST00011,4054,VND0046,0,0.0109,1.09,Low
TXN0000012,POL000012,CUST00012,1452,VND0016,0,0.0093,0.93,Low
TXN0000013,POL000013,CUST00013,647,VND0031,0,0.0091,0.91,Low
TXN0000014,POL000014,CUST00014,3568,VND0007,0,0.0208,2.08,Low
TXN0000015,POL000015,CUST00015,5622,VND0023,0,0.0393,3.93,Low
TXN0000016,POL000016,CUST00016,1236,VND0042,0,0.0262,2.62,Low
TXN0000017,POL000017,CUST00017,2976,VND0034,0,0.0228,2.28,Low
TXN0000018,POL000018,CUST00018,11339,VND0015,1,0.9229,92.29,Critical
TXN0000019,POL000019,CUST00019,1846,VND0049,0,0.0195,1.95,Low
TXN0000020,POL000020,CUST00020,4363,VND0041,0,0.0135,1.35,Low
TXN0000021,POL000021,CUST00021,2146,VND0021,0,0.0171,1.71,Low
TXN0000022,POL000022,CUST00022,1993,VND0049,0,0.0591,5.91,Low
TXN0000023,POL000023,CUST00023,6970,VND0010,0,0.1014,10.14,Low
TXN0000024,POL000024,CUST00024,1372,VND0017,0,0.0153,1.53,Low
TXN0000025,POL000025,CUST00025,1487,VND0047,0,0.0132,1.32,Low
TXN0000026,POL000026,CUST00026,6522,VND0049,0,0.109,10.9,Low
TXN0000027,POL000027,CUST00027,3941,VND0042,0,0.0358,3.58,Low
TXN0000028,POL000028,CUST00028,37323,VND0010,1,0.9773,97.73,Critical
TXN0000029,POL000029,CUST00029,3089,VND0011,0,0.0108,1.08,Low
TXN0000030,POL000030,CUST00030,4043,VND0033,0,0.0031,0.31,Low
TXN0000031,POL000031,CUST00031,1921,VND0003,0,0.0144,1.44,Low
TXN0000032,POL000032,CUST00032,3928,VND0050,0,0.0157,1.57,Low
TXN0000033,POL000033,CUST00033,4609,VND0048,0,0.046,4.6,Low
